treatment,placement,condition,pattern,ws_bytes,stores,iters,warmup,repeat,core,numa_bind,n_access,base_cyc,base_ns,base_l1,base_l2,base_ll,base_mem,base_stall,base_enabled,base_running,base_cs,base_mig,base_pf,base_gate,treat_cyc,treat_ns,treat_gate
dmb_sy,after_group,l1,random,2048,1,1000000,200000,0,0,0,1000000,5808339,1818912,68,27,46,3000048,469,1809888,1809888,0,0,0,PASS,14083485,4394656,PASS
dmb_sy,after_group,l1,random,2048,1,1000000,200000,1,0,0,1000000,5861324,1835136,23,1,1,3000040,0,8023488,8023488,0,0,0,PASS,14048495,4373504,PASS
dmb_sy,after_group,l1,random,2048,1,1000000,200000,2,0,0,1000000,5871429,1835488,25,0,0,3000039,0,14217344,14217344,0,0,0,PASS,14048546,4380640,PASS
dmb_sy,after_group,l1,random,2048,1,1000000,200000,3,0,0,1000000,5867858,1834240,23,0,1,3000048,0,20418080,20418080,0,0,0,PASS,14066877,4374528,PASS
dmb_sy,after_group,l1,random,2048,1,1000000,200000,4,0,0,1000000,5891849,1841920,18,0,2,3000057,0,26620480,26620480,0,0,0,PASS,14061552,4375360,PASS
dmb_sy,after_group,l1,random,2048,1,1000000,200000,5,0,0,1000000,5874883,1835648,17,0,0,3000036,0,32817216,32817216,0,0,0,PASS,14066302,4375040,PASS
dmb_sy,after_group,l1,random,2048,1,1000000,200000,6,0,0,1000000,5843555,1825312,17,0,0,3000044,0,39003616,39003616,0,0,0,PASS,14061209,4375904,PASS
dmb_sy,after_group,l1,random,2048,1,1000000,200000,7,0,0,1000000,5886128,1838912,20,0,0,3000036,0,45204288,45204288,0,0,0,PASS,14062432,4373600,PASS
dmb_sy,after_group,l1,random,2048,1,1000000,200000,8,0,0,1000000,5886791,1840960,21,0,0,3000056,0,51404512,51404512,0,0,0,PASS,14048680,4372960,PASS
dmb_sy,after_group,l1,random,2048,1,1000000,200000,9,0,0,1000000,5870096,1832704,19,0,0,3000027,0,57596032,57596032,0,0,0,PASS,14058625,4380096,PASS
dmb_sy,after_group,l1,random,2048,2,1000000,200000,0,0,0,2000000,8230333,2571712,68,37,76,5000070,840,2562048,2562048,0,0,0,PASS,16436694,5141344,PASS
dmb_sy,after_group,l1,random,2048,2,1000000,200000,1,0,0,2000000,8240915,2573344,32,0,1,5000068,0,10253536,10253536,0,0,0,PASS,16437689,5121472,PASS
dmb_sy,after_group,l1,random,2048,2,1000000,200000,2,0,0,2000000,8157209,2546176,21,0,0,5000069,0,17907072,17907072,0,0,0,PASS,16438190,5112928,PASS
dmb_sy,after_group,l1,random,2048,2,1000000,200000,3,0,0,2000000,8158008,2543840,23,0,0,5000041,0,25549920,25549920,0,0,0,PASS,16435563,5110336,PASS
dmb_sy,after_group,l1,random,2048,2,1000000,200000,4,0,0,2000000,8203292,2559808,17,0,0,5000065,0,33205952,33205952,0,0,0,PASS,16438315,5110208,PASS
dmb_sy,after_group,l1,random,2048,2,1000000,200000,5,0,0,2000000,8166669,2547392,21,0,0,5000076,0,40849504,40849504,0,0,0,PASS,16435553,5110368,PASS
dmb_sy,after_group,l1,random,2048,2,1000000,200000,6,0,0,2000000,8162162,2544192,18,0,0,5000053,0,48489952,48489952,0,0,0,PASS,16438142,5122080,PASS
dmb_sy,after_group,l1,random,2048,2,1000000,200000,7,0,0,2000000,8201433,2557664,18,0,0,5000052,0,56155680,56155680,0,0,0,PASS,16437359,5110208,PASS
dmb_sy,after_group,l1,random,2048,2,1000000,200000,8,0,0,2000000,8182511,2551680,20,1,1,5000057,0,63803584,63803584,0,0,0,PASS,16438221,5111264,PASS
dmb_sy,after_group,l1,random,2048,2,1000000,200000,9,0,0,2000000,8202506,2556352,18,0,0,5000038,0,71457120,71457120,0,0,0,PASS,16437140,5111680,PASS
dmb_sy,after_group,l1,random,2048,4,1000000,200000,0,0,0,4000000,15385667,4790304,77,43,75,9000104,1750,4781984,4781984,0,0,0,PASS,20675332,6451360,PASS
dmb_sy,after_group,l1,random,2048,4,1000000,200000,1,0,0,4000000,15284078,4759616,34,0,1,9000100,0,15976544,15976544,0,0,0,PASS,20674768,6427808,PASS
dmb_sy,after_group,l1,random,2048,4,1000000,200000,2,0,0,4000000,15276019,4754272,33,3,3,9000084,0,27143360,27143360,0,0,0,PASS,20675042,6426016,PASS
dmb_sy,after_group,l1,random,2048,4,1000000,200000,3,0,0,4000000,15316541,4764480,24,0,0,9000113,0,38319264,38319264,0,0,0,PASS,20674621,6427360,PASS
dmb_sy,after_group,l1,random,2048,4,1000000,200000,4,0,0,4000000,15307117,4765408,29,0,0,9000080,0,49497280,49497280,0,0,0,PASS,20675635,6426784,PASS
dmb_sy,after_group,l1,random,2048,4,1000000,200000,5,0,0,4000000,15309410,4762304,28,0,3,9000078,0,60671520,60671520,0,0,0,PASS,20675064,6426368,PASS
dmb_sy,after_group,l1,random,2048,4,1000000,200000,6,0,0,4000000,15247898,4743552,34,0,0,9000110,0,71826784,71826784,0,0,0,PASS,20674773,6426208,PASS
